SL,Sepal_Length,Petal_Length,Sepal_Width,Petal_Width,F_Category,SampleID
1,5.1,3.5,1.4,0.2,Iris-setosa,A
2,4.9,3,1.4,0.2,Iris-setosa,B
3,4.7,3.2,1.3,0.2,Iris-setosa,C
4,4.6,3.1,1.5,0.2,Iris-setosa,D
5,5,3.6,1.4,0.2,Iris-setosa,E
6,5.4,3.9,1.7,0.4,Iris-setosa,A
7,4.6,3.4,1.4,0.3,Iris-setosa,B
8,5,3.4,1.5,0.2,Iris-setosa,C
9,4.4,2.9,1.4,0.2,Iris-setosa,D
10,4.9,3.1,1.5,0.1,Iris-setosa,E
11,5.4,3.7,1.5,0.2,Iris-setosa,A
12,4.8,3.4,1.6,0.2,Iris-setosa,B
13,4.8,3,1.4,0.1,Iris-setosa,C
14,4.3,3,1.1,0.1,Iris-setosa,D
15,5.8,4,1.2,0.2,Iris-setosa,E
16,5.7,4.4,1.5,0.4,Iris-setosa,A
17,5.4,3.9,1.3,0.4,Iris-setosa,B
18,5.1,3.5,1.4,0.3,Iris-setosa,C
19,5.7,3.8,1.7,0.3,Iris-setosa,D
20,5.1,3.8,1.5,0.3,Iris-setosa,E
21,5.4,3.4,1.7,0.2,Iris-setosa,A
22,5.1,3.7,1.5,0.4,Iris-setosa,B
23,4.6,3.6,1,0.2,Iris-setosa,C
24,5.1,3.3,1.7,0.5,Iris-setosa,D
25,4.8,3.4,1.9,0.2,Iris-setosa,E
26,5,3,1.6,0.2,Iris-setosa,A
27,5,3.4,1.6,0.4,Iris-setosa,B
28,5.2,3.5,1.5,0.2,Iris-setosa,C
29,5.2,3.4,1.4,0.2,Iris-setosa,D
30,4.7,3.2,1.6,0.2,Iris-setosa,E
31,4.8,3.1,1.6,0.2,Iris-setosa,A
32,5.4,3.4,1.5,0.4,Iris-setosa,B
33,5.2,4.1,1.5,0.1,Iris-setosa,C
34,5.5,4.2,1.4,0.2,Iris-setosa,D
35,4.9,3.1,1.5,0.1,Iris-setosa,E
36,5,3.2,1.2,0.2,Iris-setosa,A
37,5.5,3.5,1.3,0.2,Iris-setosa,B
38,4.9,3.1,1.5,0.1,Iris-setosa,C
39,4.4,3,1.3,0.2,Iris-setosa,D
40,5.1,3.4,1.5,0.2,Iris-setosa,E
41,5,3.5,1.3,0.3,Iris-setosa,A
42,4.5,2.3,1.3,0.3,Iris-setosa,B
43,4.4,3.2,1.3,0.2,Iris-setosa,C
44,5,3.5,1.6,0.6,Iris-setosa,D
45,5.1,3.8,1.9,0.4,Iris-setosa,E
46,4.8,3,1.4,0.3,Iris-setosa,A
47,5.1,3.8,1.6,0.2,Iris-setosa,B
48,4.6,3.2,1.4,0.2,Iris-setosa,C
49,5.3,3.7,1.5,0.2,Iris-setosa,D
50,5,3.3,1.4,0.2,Iris-setosa,E
51,7,3.2,4.7,1.4,Iris-versicolor,A
52,6.4,3.2,4.5,1.5,Iris-versicolor,B
53,6.9,3.1,4.9,1.5,Iris-versicolor,C
54,5.5,2.3,4,1.3,Iris-versicolor,D
55,6.5,2.8,4.6,1.5,Iris-versicolor,E
56,5.7,2.8,4.5,1.3,Iris-versicolor,A
57,6.3,3.3,4.7,1.6,Iris-versicolor,B
58,4.9,2.4,3.3,1,Iris-versicolor,C
59,6.6,2.9,4.6,1.3,Iris-versicolor,D
60,5.2,2.7,3.9,1.4,Iris-versicolor,E
61,5,2,3.5,1,Iris-versicolor,A
62,5.9,3,4.2,1.5,Iris-versicolor,B
63,6,2.2,4,1,Iris-versicolor,C
64,6.1,2.9,4.7,1.4,Iris-versicolor,D
65,5.6,2.9,3.6,1.3,Iris-versicolor,E
66,6.7,3.1,4.4,1.4,Iris-versicolor,A
67,5.6,3,4.5,1.5,Iris-versicolor,B
68,5.8,2.7,4.1,1,Iris-versicolor,C
69,6.2,2.2,4.5,1.5,Iris-versicolor,D
70,5.6,2.5,3.9,1.1,Iris-versicolor,E
71,5.9,3.2,4.8,1.8,Iris-versicolor,A
72,6.1,2.8,4,1.3,Iris-versicolor,B
73,6.3,2.5,4.9,1.5,Iris-versicolor,C
74,6.1,2.8,4.7,1.2,Iris-versicolor,D
75,6.4,2.9,4.3,1.3,Iris-versicolor,E
76,6.6,3,4.4,1.4,Iris-versicolor,A
77,6.8,2.8,4.8,1.4,Iris-versicolor,B
78,6.7,3,5,1.7,Iris-versicolor,C
79,6,2.9,4.5,1.5,Iris-versicolor,D
80,5.7,2.6,3.5,1,Iris-versicolor,E
81,5.5,2.4,3.8,1.1,Iris-versicolor,A
82,5.5,2.4,3.7,1,Iris-versicolor,B
83,5.8,2.7,3.9,1.2,Iris-versicolor,C
84,6,2.7,5.1,1.6,Iris-versicolor,D
85,5.4,3,4.5,1.5,Iris-versicolor,E
86,6,3.4,4.5,1.6,Iris-versicolor,A
87,6.7,3.1,4.7,1.5,Iris-versicolor,B
88,6.3,2.3,4.4,1.3,Iris-versicolor,C
89,5.6,3,4.1,1.3,Iris-versicolor,D
90,5.5,2.5,4,1.3,Iris-versicolor,E
91,5.5,2.6,4.4,1.2,Iris-versicolor,A
92,6.1,3,4.6,1.4,Iris-versicolor,B
93,5.8,2.6,4,1.2,Iris-versicolor,C
94,5,2.3,3.3,1,Iris-versicolor,D
95,5.6,2.7,4.2,1.3,Iris-versicolor,E
96,5.7,3,4.2,1.2,Iris-versicolor,A
97,5.7,2.9,4.2,1.3,Iris-versicolor,B
98,6.2,2.9,4.3,1.3,Iris-versicolor,C
99,5.1,2.5,3,1.1,Iris-versicolor,D
100,5.7,2.8,4.1,1.3,Iris-versicolor,E
101,6.3,3.3,6,2.5,Iris-virginica,A
102,5.8,2.7,5.1,1.9,Iris-virginica,B
103,7.1,3,5.9,2.1,Iris-virginica,C
104,6.3,2.9,5.6,1.8,Iris-virginica,D
105,6.5,3,5.8,2.2,Iris-virginica,E
106,7.6,3,6.6,2.1,Iris-virginica,A
107,4.9,2.5,4.5,1.7,Iris-virginica,B
108,7.3,2.9,6.3,1.8,Iris-virginica,C
109,6.7,2.5,5.8,1.8,Iris-virginica,D
110,7.2,3.6,6.1,2.5,Iris-virginica,E
111,6.5,3.2,5.1,2,Iris-virginica,A
112,6.4,2.7,5.3,1.9,Iris-virginica,B
113,6.8,3,5.5,2.1,Iris-virginica,C
114,5.7,2.5,5,2,Iris-virginica,D
115,5.8,2.8,5.1,2.4,Iris-virginica,E
116,6.4,3.2,5.3,2.3,Iris-virginica,A
117,6.5,3,5.5,1.8,Iris-virginica,B
118,7.7,3.8,6.7,2.2,Iris-virginica,C
119,7.7,2.6,6.9,2.3,Iris-virginica,D
120,6,2.2,5,1.5,Iris-virginica,E
121,6.9,3.2,5.7,2.3,Iris-virginica,A
122,5.6,2.8,4.9,2,Iris-virginica,B
123,7.7,2.8,6.7,2,Iris-virginica,C
124,6.3,2.7,4.9,1.8,Iris-virginica,D
125,6.7,3.3,5.7,2.1,Iris-virginica,E
126,7.2,3.2,6,1.8,Iris-virginica,A
127,6.2,2.8,4.8,1.8,Iris-virginica,B
128,6.1,3,4.9,1.8,Iris-virginica,C
129,6.4,2.8,5.6,2.1,Iris-virginica,D
130,7.2,3,5.8,1.6,Iris-virginica,E
131,7.4,2.8,6.1,1.9,Iris-virginica,A
132,7.9,3.8,6.4,2,Iris-virginica,B
133,6.4,2.8,5.6,2.2,Iris-virginica,C
134,6.3,2.8,5.1,1.5,Iris-virginica,D
135,6.1,2.6,5.6,1.4,Iris-virginica,E
136,7.7,3,6.1,2.3,Iris-virginica,A
137,6.3,3.4,5.6,2.4,Iris-virginica,B
138,6.4,3.1,5.5,1.8,Iris-virginica,C
139,6,3,4.8,1.8,Iris-virginica,D
140,6.9,3.1,5.4,2.1,Iris-virginica,E
141,6.7,3.1,5.6,2.4,Iris-virginica,A
142,6.9,3.1,5.1,2.3,Iris-virginica,B
143,5.8,2.7,5.1,1.9,Iris-virginica,C
144,6.8,3.2,5.9,2.3,Iris-virginica,D
145,6.7,3.3,5.7,2.5,Iris-virginica,E
146,6.7,3,5.2,2.3,Iris-virginica,A
147,6.3,2.5,5,1.9,Iris-virginica,B
148,6.5,3,5.2,2,Iris-virginica,C
149,6.2,3.4,5.4,2.3,Iris-virginica,D
150,5.9,3,5.1,1.8,Iris-virginica,E
